grid_id,day_lst,night_lst,day_night_gap,centroid_lon,centroid_lat,dist_to_coast,elevation_mean,water_ratio,dist_to_major_river,avg_height,road_length,bldg_coverage_ratio,svf_mean,height_variance,ndvi,file_name,OID_,Shape_Leng,Shape_Area,MESH_KEYS,geometry_wkt
16,34.361224,23.015391,11.345832999999999,139.79281495328104,35.53727332867853,587.0957167,4.088974065,0.0,1030.369436,19.6375,362.816073,0.656253023,0.413296248,335.4826786,0.076043289,bldg_16.shp,0,800.0,40000.0,53392643,"POLYGON ((139.791726 35.536361, 139.791699 35.538164, 139.793904 35.538186, 139.793931 35.536383, 139.791726 35.536361))"
17,33.646642,23.640016,10.006626,139.79502072246882,35.53729539079321,488.4955139,2.04754289,0.0,1136.712288,15.38571429,401.5729022,0.118180518,0.929550925,151.8180952,0.076043289,bldg_17.shp,0,800.0,40000.0,53392643,"POLYGON ((139.793931 35.536383, 139.793904 35.538186, 139.79611 35.538208, 139.796137 35.536405, 139.793931 35.536383))"
18,35.3798,24.162726,11.217074000000004,139.79722649405142,35.53731741257677,389.8953112,2.855591378,0.0,1243.055141,16.15,211.7293762,0.094613862,0.964279671,85.41666667,0.062440234,bldg_18.shp,0,800.0,40000.0,53392643,"POLYGON ((139.796137 35.536405, 139.79611 35.538208, 139.798316 35.53823, 139.798343 35.536427, 139.796137 35.536405))"
19,35.505861,24.059654,11.446207000000005,139.7994322680245,35.537339394029075,293.2161704,3.428714772,0.0,1349.397994,,0.0,0.0,0.999694871,,0.053253213,bldg_19.shp,0,800.0,40000.0,"53392643,53392644","POLYGON ((139.798343 35.536427, 139.798316 35.53823, 139.800522 35.538252, 139.800549 35.536449, 139.798343 35.536427))"
20,35.313145,23.717839,11.595305999999997,139.80163804438368,35.53736133514997,201.3166499,3.61913158,0.0,1455.740847,,0.0,0.0,1.0,,0.128803865,bldg_20.shp,0,800.0,40000.0,"53392643,53392644","POLYGON ((139.800549 35.536449, 139.800522 35.538252, 139.802728 35.538274, 139.802754 35.536471, 139.800549 35.536449))"
21,33.479733,23.088653,10.391080000000002,139.81707854534082,35.537513793705195,190.0500312,13.19287388,0.0,2390.790185,,0.0,0.0,1.0,,0.195939025,bldg_21.shp,0,800.0,40000.0,53392645,"POLYGON ((139.815989 35.536601, 139.815962 35.538404, 139.818168 35.538426, 139.818195 35.536623, 139.815989 35.536601))"
22,33.205752,23.122212,10.083539999999996,139.8192843406311,35.53753541216984,153.9744375,13.69915934,0.0,2557.489554,,0.0,0.0,1.0,,0.247977399,bldg_22.shp,0,800.0,40000.0,53392645,"POLYGON ((139.818195 35.536623, 139.818168 35.538426, 139.820374 35.538448, 139.8204 35.536645, 139.818195 35.536623))"
23,32.15742,21.346782,10.810638,139.70455720902163,35.53816063983091,4965.84594,1.601089458,0.0,172.8087267,,0.0,0.0,0.999775965,,0.206368882,bldg_23.shp,0,800.0,40000.0,53392546,"POLYGON ((139.703469 35.537247, 139.70344 35.53905, 139.705646 35.539074, 139.705675 35.537271, 139.703469 35.537247))"
24,32.644383,21.56642,11.077962999999997,139.70676292815287,35.53818431663775,4990.472232,1.730231764,0.0,199.2081484,,0.0,0.0,0.999523815,,0.217512305,bldg_24.shp,0,800.0,40000.0,53392546,"POLYGON ((139.705675 35.537271, 139.705646 35.539074, 139.707851 35.539098, 139.70788 35.537295, 139.705675 35.537271))"
25,33.158608,21.504348,11.65426,139.70896864985428,35.53820795311664,4829.354563,1.655468686,0.0,192.6636316,,238.4717753,0.0,0.999332904,,0.208202866,bldg_25.shp,0,800.0,40000.0,53392546,"POLYGON ((139.70788 35.537295, 139.707851 35.539098, 139.710057 35.539121, 139.710086 35.537318, 139.70788 35.537295))"
26,30.814232,21.333449,9.480782999999999,139.71117437412158,35.53823154926744,4664.663301,1.250706953,0.0,183.1517743,,0.0,0.0,0.998948028,,0.326283828,bldg_26.shp,0,800.0,40000.0,"53392546,53392547","POLYGON ((139.710086 35.537318, 139.710057 35.539121, 139.712263 35.539145, 139.712292 35.537342, 139.710086 35.537318))"
27,28.242609,22.587955,5.654654000000001,139.77293567756536,35.53887586767725,2126.810537,-0.252150349,0.8094575,256.6393303,,94.22704873,0.0,0.997832557,,0.002513949,bldg_27.shp,0,800.0,40000.0,"53392641,53392642","POLYGON ((139.771847 35.537963, 139.771819 35.539766, 139.774025 35.539789, 139.774052 35.537986, 139.771847 35.537963))"
28,31.638953,22.042774,9.596179,139.77514147433766,35.538898294248675,1941.799341,1.30149553,0.2583375,359.9903232,3.6,258.8293488,0.012020885,0.996623269,0.0,0.078988621,bldg_28.shp,0,800.0,40000.0,"53392641,53392642","POLYGON ((139.774052 35.537986, 139.774025 35.539789, 139.776231 35.539811, 139.776258 35.538008, 139.774052 35.537986))"
29,33.768407,22.020218,11.748189000000004,139.77734727354442,35.53892068048761,1760.06997,2.960749952,0.0,463.3413161,7.6,150.1796419,0.291366804,0.943648848,54.49,0.067199412,bldg_29.shp,0,800.0,40000.0,53392642,"POLYGON ((139.776258 35.538008, 139.776231 35.539811, 139.778437 35.539833, 139.778464 35.53803, 139.776258 35.538008))"
